pr_id,base_commit_id,fix_commit_id,component
9184,bac1f400d10bcee075d7c4d47591f6c1c5451281,6472f7eb8d78adff931af8c2409397a9663f27cc,PL
8824,22740ec6a431497573709baf080508450108a61d,751d7ab0540dda34161949f23f4b8ce9b5afeea2,Cont
8664,29bdcbe5d10ea73ee223aeaa5c81ec384f1c11fa,d6b9ee69d8fe43a19638968dde97584e9dd5426b,SF
8571,6271d4bacc070affc274a598747485d3cc537bde,35b39c7624edd595551caaaaec0f5675c7ef8cb2,PL
8397,60339d3119a534ec04b062da3f08ccf28056c6c5,acf790c72e476dc0b3668716534883ca83b0a752,PL
8187,dc2c8fadee040a18e331cbbcdc9dbd42e558f1ca,d81ccc4dea5616688752a02b1b77b5e68d63daa3,PL
7913,0ec90787bb6878d457087df153cebac9fa85db8f,96433b1c707cf10734b019a694fb07a95c67012e,Cont
7772,0c53fd6704aa1a2c4a61057e35f8acee195232a2,36f3c82f7778e78db30f2048a2ef6b014c2d14ed,PL
7760,e81b158e25f2fa443a6fa3178ef93beeb95d4bf5,8a6bf856c3b504f540b0ce9a9dddb0156e67884d,PL
7738,0841bb06f09de30e70a103fe553a76aacae5d136,08937dbc02256e25c54d1041ed2b4d0717bcae21,PL
7597,9c470534421ed29268a3c33e325820499d8a15cc,d31613ebc1667a642b08ec651def122fc55fd4cc,PL
7550,350a35fa249fb2dc795ddb2375da1ab78e8d8ed5,e8b4513e02332cd43ca8986cb2a238797b67fd3d,PL
7523,4b537ffb4af62efec7e4ff803cbaa38f8b112bdc,2f92955c820141681413a6b96984dda27d083759,PL
7004,17ee9f8879ce87d1b6550f4cc28f7caed0f0ad4e,776a675eebffd73132bf9b5f3d3836b97a98b53e,OD
6265,a0ba79090d497000b40987f95544cac536ac2e48,fa9ecc60cf69d98fba9f42eeed9b674fcd590598,TP
6151,8f29d72df0da8ef6d79f6743a61b308e7a78a50e,a48263265dc23f40ba3474fab10257e4bb9fcf4d,PL
6149,2573c17f51743c47ec4eb1912cf1280078af11da,2e80a329f4266f99710d2fd24bdbfb14ddf04e9d,PL
6140,2a50da28981ed2781666fc1975d9d5c33999d958,da30d3438615e159db6ca93d7d254e3b84ad0c9f,TP
6042,97493341ed00f57addc938146b5343d78cb4ec0e,ce733927c7723f17406450b826cee4289a287dbd,OD
5627,2aa94f21fd43c6a663bdb3db6eecedc0fd96cf58,3fa46e23cf7583a7f730520a4b2722b0a25e1323,PL
5585,28cd780499342ab7b5dc906dd1d7d497e03a6da6,22e0bb24627d641749cd729c8bb1f53ba303d20a,PL
5354,f6dcf2e5330baef0546f23b97fb5e8849ed9fecb,f0c0f49df7c6ec8a69bad5716292e07f4540b9b7,Cont
5317,8de70d730971c685194b38d9504ef2d162c3af93,da15643a735884d359867125f204105cad7941fb,PL
5190,f197a14be6d9f169722a11a4883e9796f20801d8,fe2869cf64d79c9e1bc506752e60618902f1cdc4,PL
5151,9c8164e0e7e0106d01103c805405ba1547902083,d55125b1ca553b0dcb50596eb65f77f2e1eaddef,PL
5142,e82841fe2a61757c399048b6d8a82ff3a0fa5317,1a6466958397c5864dc9440d190492f72b9ae278,PL
5107,388130685fbf8bd6dcb766d0d512dc97e3f5632c,ed270aa29ab15c1a02fa9aec7ebaf701a0342f4f,PL
5000,b05d7c1bb07211d6fc25e633d739a7fe7f56f0c7,0f2a675956bb771e159f65b5c3e9d71a23950ca8,PL
4795,e5f97ccadcd751d14019679c1318e04a0dde37bf,1bda381373f9cca3dbcbc3643f09f4690d56bcc1,PL
4790,e5f97ccadcd751d14019679c1318e04a0dde37bf,556c80ecc1cebb34c4bc710b7609846eaf3f6caf,Map
4365,620b476bf006f273f5d5b80b0d766ad824e0cedb,68d0cfe80ca36a82f79ba05de194612c76c68c52,Map
4110,462caee5589d77f5ccdbdc676829887d3344cb52,a9bcb6cebfa284dce1bbba8e20af8d9f7aa423c4,Map
4081,0d2e7afb8b31aabff2309738c83450bba847266c,03bc70e34152257b59b40296fd04562265129569,PL
4070,df37d2c79129434fb90353950a65671278a4229e,37d9662da685dbce631a92a977b93232c195e276,Map
3968,0047e8adb20e57d86f146d0a59fadae789df5491,4336e31a8e06f36553a3969a21a88a3f3590b283,AC
3965,472548d2d6a43cb2d1deea3ff20d613967b2fc66,089a59c39f7f565d71631547d4c8a0d86552ef7c,AC
3895,aad62a89d7d3b5f110b362fad1926abb7246d763,412c215ebdfb0df50cfbaa89e4dd7eea8175a4af,PL
3867,4bb5b7bac7f85f86e6c633116067838f2b6676d3,c3fb49edfe60d6b2ed6d331a84303ac8d84bf9ae,PL
3730,a48c5fbad8930520723d1634377bcb65cb75edd0,90f2967b4c109f92185f72439aa0620bc66eb2cc,AC
3430,097d29754b073c28dc4e545a1dcecda6776a8537,83f2353a080b5d62750a72cadacf66a3cf77b54b,TP
3000,fd80b81ef971f6a2041270d52d4a2ba82f3e5dd1,501d864f54a075d0c0d9d8b2ec5af4022c122182,PL
2922,209028f3d265eed2f060c9b09c72c83697e7ba98,d1ae569895140107e630864849213073861d1fd4,PL
2535,eb9be2ff6d1c44a9fb3e5a2b3f141fcf9134a174,70751ba15a6b4afc4258d65522a961dd30c295e8,PL
2334,39a019e384a5cdcb12d143d7c7e61e3321c6cf65,2c523b10d0458ee221f027c7d4d70e291e13a558,PL
2290,a5c589604c1735b92428ec3ea6463b696dfbeffa,b0a4cbe63b233069d8785cfdf82da2fc68a0ef86,PL
2136,a1f4934d37a21f80717068c595389831efa4b8b0,24fd7cb37baa0c575530a0bf9f63081d5ca32d25,PL
2084,bb7587d40848ec7205801485f9bf9582a9f8c99a,808f02ef222626023d676ab067bb8a32336cc785,TP
1950,519d9a6a7849e457c9734808fcab3fd4ed28588e,a5c2ec02e952b4e539003b14cdaa4c86d8e14817,Map
1876,a793f102cc9dbe4fc24ed8fbee680bac80dffb21,563a8cab4a3c2e7671de8e7a29a6a63d526dfa7a,PL
1873,60292cca376a1e3253b025be02a02a1314150781,8da423949e0b95224ca253f468ddc740059f3d4e,Map
1833,99c3fe7d86c74b54c6d36b5b5f512fbbd2ac745b,6601aa8d198eef79e57da60d4c4374d43ef6739a,PL
1828,b0be9bbd908b63899f20e2bdf96922b7b3e8a642,8030dfc1792fc6cf27df53756b416a1c921fda48,PL
1800,5e9463613f9c14d8b2a1df2a89766464c4651667,ac5df8b1cd4399cf810de31f3091f8446618d420,PL
1788,fdfbaeade7fbb6d522b27a2990c25a3932b5b5e6,c7e10e31d874fd895c6ff0405750257cfa525901,PL
1770,4bc3b4705bf2c02378c8bf487e8291e88824c1fe,f1b9738042f7b2050dd646fe81d80e2532d7d3cd,PL
1698,74004e8531c83221f540e7a49db7e77f474f4fc4,860b2ca1394ac856da12e941ba51953942aa7182,PL
1675,81881f0ad612698dbff31608bde57f4736480f16,fca016f94ebf50aec90a2b6fde7afac4202ab862,PL
1425,42ede2704ffe1edad29e071e6a2468b0fede5916,ea32174987afad01e335b026b5d20e18267326f2,Map
1336,4f4f91c359c50922cad7d61eb6fb50f6d6e22c83,3e65e28232d336036e6daa86399dd7ba5a6f58b8,PL
1262,f56197b1c4525c1abfc8b08eb2b462cb00a8eaf2,46bd12e9b7c89453e28a24f86e28a1c72a2e2099,Map
1252,a985eed453c82a08bf09f88370853aa09ceac4a7,4f69ed9685d3af243275ce01950c0e902a5ef417,PL
1183,22cdd14a4d6ebe5441037921402e183473aa5591,f226b99abd4453bf75bacad539780e8b0bbee393,PL
1167,3c2205c1bae7fe0b9957e450def2e2347171dcab,5bc67c87c1d20bfd085e5b3a85ce3fc965f0e557,PL
1165,5bc67c87c1d20bfd085e5b3a85ce3fc965f0e557,b8b4503f1b1ba0185ed11129937105e5631e9ffa,TP
1139,0fd6c774440909f4a53a521aa7a6d90a5699138a,922f69ee127d7480a108635722f1a10b04236577,PL
1129,cb1e23d1fb7d5edb51a6c038211b67b34aca4860,b84c5757299daa95c1bb893da1d53586b67eb097,PL
1125,fce90c722cd3be8dc5e51c86a2ce7665c124c140,55f1b91f6a7bb0e7b97e8e5921af8c37ed80a132,PL
988,719ce2666d25d2c754025c917884f93c7f31c17b,e9f1b4844639eb157721a5b3a08180de996f79bf,TP
883,2a3ef2b1be7e34949d244b87a51dbbdfc191d3d0,75dc09b3ecb8dc2938447a010f2707f841706901,PL
878,1b636c2b1d9ecc608c546fdc2f0bc3d4c466fdcb,bd496c351030a9bac1711c6a7a20a2add5d9c145,PL
870,a3e4d06bffc2ea3d195bd4c3173c0f599d6fd596,4a5fd23fda3cb5b9804fb7a373b9c781498f6c71,PL
844,bca89aaed7600485e511e92ca644872113e3fd48,4afad22806e61895a1c1bca6256321f33efc2341,PL
826,c21eced843c314b4284d3196f27d96e0b1b80e0f,477c54911e89ddf54f0c766d202c5ddbbbd7e4b2,TP
646,cdb28a41c0168f99fa50165550d0dbf98a9c1460,c6872ce78c65678ee7223ce7e5ac09ba66d4567f,PL
632,8121d11aa9e1285756d7eb18e287234cebb8716b,bf7e3f465bd05bdb5c2dd89f06a90b4ddaa2a461,PL
569,b4aefba987f8f97c1ec81795c16649170dd6c2d8,75a7861f491e8dc5ebd36388f93f3f26b221bd51,PL
566,a7fa77b84167e1f1ab31a28b63007bf9e0b6b6fe,66fe46d8f9c41e7c0c8d187cd08a16f819110a72,PL
557,2f8157400a273a9f8723f2ec81517ae7b8fcdfc7,2160fd64f4b6bec9be38375e31512860a975e076,PL
442,d27196223c877d7ba855dac3506243e130a3679a,56c188132e415001e410758f7a22a21cb4c09613,PL
363,75b69fd6a4f36e4c02c4dd8e4f603eea81a2a4e6,6d0fd8a75affb4bff7a481eebf744363c93a5942,PL
165,16e1f5ce2a4d39195ca07a131cab3ce5c6726f35,cdefeaf319eb0ddf51b2c757c38d2aef5862b227,LL
